with_zx,span,comp_state,prefix,time,data,mrt_file,status
1,1024,uncomp,146.120.97.0/24,0.536,391076,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,150.108.85.0/24,7.929,20962788,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,150.108.85.0/24,1.399,2105508,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,150.108.85.0/24,0.530,386732,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,155.48.253.0/24,8.238,21297276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,155.48.253.0/24,1.650,2415380,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,155.48.253.0/24,0.555,396868,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,159.196.132.0/24,7.170,21680996,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,159.196.132.0/24,0.548,393972,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,159.196.132.0/24,0.532,392524,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,162.247.158.0/24,7.137,21963356,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,162.247.158.0/24,0.775,725564,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,162.247.158.0/24,0.555,346188,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,166.137.10.0/24,6.887,22257300,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,166.137.10.0/24,1.026,1128108,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,166.137.10.0/24,0.406,244828,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,168.228.14.0/24,7.180,22530972,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,168.228.14.0/24,2.387,1327508,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,168.228.14.0/24,0.558,385284,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,170.233.248.0/24,7.407,22865460,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,170.233.248.0/24,1.411,1684140,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,170.233.248.0/24,0.528,392524,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,173.254.190.0/24,6.761,23237596,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,173.254.190.0/24,2.740,2027316,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,173.254.190.0/24,0.529,392524,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,177.23.223.0/24,6.536,23682132,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,177.23.223.0/24,1.654,2505156,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,177.23.223.0/24,0.405,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,178.150.180.0/24,7.673,24019516,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,178.150.180.0/24,0.796,586556,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,178.150.180.0/24,0.651,473612,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,180.210.1.0/24,7.304,24325044,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,180.210.1.0/24,1.024,1009372,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,180.210.1.0/24,0.557,118852,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,182.72.251.0/24,7.126,24734828,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,182.72.251.0/24,1.296,1293180,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,182.72.251.0/24,0.591,121748,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,185.19.206.0/24,7.283,25061652,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,185.19.206.0/24,1.273,1757988,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
